Time,Var2,Var3,Var4,Var5,Var6,Var7,LABEL
0.0083,13551.75544,5791.592399,-19343.34784,2.168404893,3.928136944,-6.096541837,0
0.00835,13280.64606,6147.895014,-19428.54107,1.912531343,4.083645323,-5.996176666,0
0.0084,13008.01368,6500.091142,-19508.10483,1.69966617,4.216116694,-5.915782864,0
0.00845,12733.2675,6848.349314,-19581.61681,1.534552688,4.321649856,-5.856202545,0
0.0085,12455.61643,7192.974631,-19648.59106,1.417998685,4.398428841,-5.816427526,0
0.00855,12174.17453,7534.351273,-19708.5258,1.346935679,4.446800672,-5.793736352,0
0.0086,11888.02424,7872.913179,-19760.93742,1.31476491,4.469192678,-5.783957589,0
0.00865,11596.31111,8209.088347,-19805.39946,1.311996535,4.469850832,-5.781847367,0
0.0087,11298.31873,8543.257532,-19841.57626,1.327103002,4.454444584,-5.781547586,0
0.00875,10993.52408,8875.717721,-19869.2418,1.347506259,4.429567516,-5.777073775,0
0.0088,10681.66013,9206.641965,-19888.3021,1.360643287,4.402171552,-5.762814839,0
0.00885,10362.71556,9536.073541,-19898.7891,1.354972402,4.379000277,-5.733972679,0
0.0089,10036.96782,9863.897687,-19900.86551,1.32090488,4.366039677,-5.686944557,0
0.00895,9704.927595,10189.86881,-19894.79641,1.251513053,4.368065741,-5.619578794,0
0.009,9367.33683,10513.5997,-19880.93653,1.143042633,4.388282916,-5.53132555,0
0.00905,9025.074783,10834.61407,-19859.68885,0.995116021,4.428121343,-5.423237364,0
0.0091,8679.126957,11152.35303,-19831.47999,0.810687036,4.487165523,-5.297852559,0
0.00915,8330.481226,11466.23742,-19796.71865,0.595702503,4.563250556,-5.158953059,0
0.0092,7980.081479,11775.68663,-19755.76811,0.358543692,4.652686687,-5.011230379,0
0.00925,7628.745114,12080.17189,-19708.91701,0.109281375,4.750607366,-4.859888741,0
0.0093,7277.118031,12379.24018,-19656.35821,-0.141192888,4.851402234,-4.710209347,0
0.00935,6925.637423,12672.54262,-19598.18005,-0.382062603,4.949193548,-4.567130945,0
0.0094,6574.502731,12959.8555,-19534.35823,-0.603475582,5.038329746,-4.434854164,0
0.00945,6223.692461,13241.07641,-19464.76887,-0.797301377,5.113833481,-4.316532104,0
0.0095,5872.960001,13516.23584,-19389.19584,-0.9577605,5.17179727,-4.21403677,0
0.00955,5521.895395,13785.46425,-19307.35965,-1.081813082,5.209664161,-4.127851079,0
0.0096,5169.947112,14048.99105,-19218.93816,-1.169344235,5.226406663,-4.057062429,0
0.00965,4816.505673,14307.09459,-19123.60026,-1.22308175,5.222561487,-3.999479737,0
0.0097,4460.944375,14560.08963,-19021.03401,-1.248303023,5.200147738,-3.951844715,0
0.00975,4102.696342,14808.27682,-18910.97316,-1.252333052,5.16245885,-3.910125797,0
0.0098,3741.300851,15051.92366,-18793.22451,-1.243890461,5.113760431,-3.86986997,0
0.00985,3376.450174,15291.22838,-18667.67856,-1.232346157,5.058918606,-3.82657245,0
0.0099,3008.025587,15526.30247,-18534.32806,-1.226933037,5.002984852,-3.776051815,0
0.00995,2636.102765,15757.15725,-18393.26001,-1.236011174,4.95078687,-3.714775696,0
0.01,2260.964158,15983.69585,-18244.66,-1.266396559,4.906537211,-3.640140652,0
0.01005,1883.066449,16205.72292,-18088.78936,-1.322863413,4.87351745,-3.550654037,0
0.0101,1503.023483,16422.95052,-17925.97401,-1.407796286,4.853832244,-3.446035959,0
0.01015,1121.551109,16635.02438,-17756.57548,-1.521073221,4.848280862,-3.327207641,0
0.0102,739.424852,16841.54289,-17580.96774,-1.660133073,4.856325827,-3.196192754,0
0.01025,357.4228606,17042.08939,-17399.51225,-1.820255955,4.876181679,-3.055925724,0
0.0103,-23.72866415,17236.25848,-17212.52982,-1.995002334,4.904996008,-2.909993675,0
0.01035,-403.3953343,17423.68342,-17020.28809,-2.176781553,4.939115355,-2.762333802,0
0.0104,-781.0842834,17604.06104,-16822.97676,-2.357504817,4.974409742,-2.616904925,0
0.01045,-1156.454824,17777.16622,-16620.7114,-2.529247958,5.006622136,-2.477374178,0
0.0105,-1529.348297,17942.8673,-16413.519,-2.684901608,5.031726231,-2.346824622,0
0.01055,-1899.767365,18101.12411,-16201.35675,-2.8187151,5.046244805,-2.227529705,0
0.0106,-2267.878161,18251.98928,-15984.11112,-2.926739534,5.047526163,-2.120786629,0
0.01065,-2633.965872,18395.59166,-15761.62579,-3.00708837,5.033932889,-2.026844518,0
0.0107,-2998.410512,18532.12352,-15533.71301,-3.060045028,5.004954365,-1.944909337,0
0.01075,-3361.633671,18661.81599,-15300.18231,-3.087973467,4.961213711,-1.873240244,0
0.0108,-3724.05699,18784.91616,-15060.85917,-3.095074216,4.904390082,-1.809315866,0
0.01085,-4086.057684,18901.66374,-14815.60606,-3.08699176,4.837051767,-1.750060007,0
0.0109,-4447.922804,19012.26466,-14564.34186,-3.070314251,4.762423406,-1.692109155,0
0.01095,-4809.828467,19116.87767,-14307.0492,-3.052017314,4.684107571,-1.632090257,0
0.011,-5171.802679,19215.59127,-14043.78859,-3.038878192,4.60577897,-1.566900778,0
0.01105,-5533.735697,19308.42574,-13774.69004,-3.03693959,4.530888523,-1.493948933,0
0.0111,-5895.360394,19395.31877,-13499.95837,-3.051026836,4.462385057,-1.411358222,0
0.01115,-6256.291046,19476.14295,-13219.8519,-3.084399363,4.402496184,-1.318096822,0
0.0112,-6616.024582,19550.70291,-12934.67832,-3.138517094,4.352563724,-1.214046631,0
