Time,Var2,Var3,Var4,Var5,Var6,Var7,LABEL
0.372,19039.63687,-14620.24023,-4464.158454,20.81064387,-0.440590733,5.952847317,0
0.37205,19147.03091,-14362.09825,-4829.901276,20.87550168,-0.279855773,5.719737751,0
0.3721,19247.0538,-14098.37027,-5193.444901,20.93606796,-0.115907646,5.487711083,0
0.37215,19340.8613,-13830.18236,-5555.692553,20.99231356,0.051200385,5.256854587,0
0.3722,19427.11195,-13556.50055,-5915.386172,21.04422356,0.221403169,5.027244832,0
0.37225,19507.17162,-13278.61921,-6273.595176,21.09177479,0.394642237,4.798965371,0
0.3723,19579.55609,-12995.4028,-6628.957885,21.13495264,0.570853235,4.572094897,0
0.37235,19645.72572,-12708.19202,-6982.58823,21.17374002,0.749972364,4.346712802,0
0.3724,19704.16913,-12415.87445,-7333.145974,21.20812265,0.931936339,4.122899855,0
0.37245,19756.32785,-12119.71239,-7681.665161,21.23808938,1.116676253,3.900731201,0
0.3725,19800.77266,-11818.73735,-8026.948116,21.26362646,1.304129818,3.680289308,0
0.37255,19838.8227,-11514.01908,-8369.835126,21.28472838,1.49422356,3.461645325,0
0.3726,19869.22739,-11204.83689,-8709.375321,21.30138228,1.686895782,3.244882759,0
0.37265,19893.09542,-10891.97654,-9046.124111,21.31358781,1.882069259,3.030069344,0
0.3727,19909.43353,-10575.04109,-9379.453671,21.32133341,2.079682215,2.817288757,0
0.37275,19919.07151,-10254.4733,-9709.575842,21.32462332,2.27965468,2.60660618,0
0.3728,19921.33112,-9930.239919,-10036.22614,21.32344771,2.481923945,2.398104483,0
0.37285,19916.71678,-9602.420113,-10359.25254,21.3178148,2.686408378,2.191847269,0
0.3729,19904.90017,-9271.344605,-10678.75448,21.307717,2.893043403,1.987915571,0
0.37295,19886.03727,-8936.748196,-10994.23566,21.29316588,3.10174679,1.786372383,0
0.373,19860.16092,-8599.286969,-11306.12116,21.27415668,3.312451212,1.587295909,0
0.37305,19827.07913,-8258.407324,-11613.62665,21.25070373,3.52507477,1.390749332,0
0.3731,19787.1739,-7915.018608,-11917.43112,21.2228057,3.739546682,1.196807182,0
0.37315,19739.92853,-7568.364074,-12216.54781,21.19047912,3.955786092,1.005533387,0
0.3732,19686.04,-7219.50992,-12511.81352,21.15372669,4.173718335,0.816998183,0
0.37325,19624.71143,-6867.600173,-12802.14333,21.11256668,4.393264027,0.631266449,0
0.3733,19556.90054,-6513.748902,-13088.42317,21.06700639,4.614344519,0.448403774,0
0.37335,19481.59334,-6157.111003,-13369.5804,21.01706544,4.836882029,0.268475854,0
0.3734,19399.93714,-5798.739724,-13646.44176,20.96275618,5.060794164,0.091543591,0
0.37345,19310.77897,-5437.904285,-13918.05065,20.90409932,5.28600457,-0.082326981,0
0.3735,19215.3717,-5075.501085,-14185.07887,20.84111262,5.512427668,-0.253079401,0
0.37355,19112.51183,-4710.99892,-14446.77148,20.77381769,5.739988101,-0.420648015,0
0.3736,19003.46612,-4345.064389,-14703.57273,20.70223784,5.968597892,-0.584980282,0
0.37365,18887.07376,-3977.423941,-14954.9877,20.62639554,6.198182062,-0.746011825,0
0.3737,18764.52204,-3608.471816,-15201.19083,20.54631965,6.428651182,-0.903693329,0
0.37375,18634.78444,-3238.217557,-15441.97301,20.46203352,6.659929919,-1.057962624,0
0.3738,18498.88038,-2866.77432,-15677.23041,20.37357134,6.891928368,-1.208772823,0
0.37385,18356.00091,-2494.426191,-15907.0315,20.28095756,7.124570116,-1.35606486,0
0.3739,18206.9208,-2121.029647,-16131.01891,20.18423126,7.357765695,-1.499793515,0
0.37395,18051.11707,-1747.103479,-16349.49912,20.08341833,7.591436978,-1.639903569,0
0.374,17889.06106,-1372.300411,-16561.91444,19.97856212,7.82549568,-1.776350818,0
0.37405,17720.56325,-997.3091607,-16768.74492,19.86969046,8.059861518,-1.909084454,0
0.3741,17545.75622,-621.6522762,-16969.30641,19.75685027,8.294447919,-2.038060879,0
