Time,Var2,Var3,Var4,Var5,Var6,Var7,LABEL
0.54975,-14751.24424,-4244.046281,18992.73522,-9.07315426,-2.424277749,12.28276571,0
0.5498,-14496.21157,-4607.316137,19102.8511,-8.911557261,-2.656103163,12.352825,0
0.54985,-14235.1498,-4975.319548,19207.67262,-8.746693649,-2.88687551,12.41859029,0
0.5499,-13969.76669,-5335.042745,19304.31457,-8.578635169,-3.116533462,12.48002671,0
0.54995,-13698.83225,-5699.382773,19395.30325,-8.407426182,-3.344993572,12.53712797,0
0.55,-13423.47803,-6055.323824,19478.35546,-8.233140707,-3.572167071,12.58985978,0
0.55005,-13143.04791,-6415.209369,19555.36684,-8.055825948,-3.797999443,12.63822071,0
0.5501,-12858.12657,-6767.127791,19624.7208,-7.875557137,-4.022375089,12.68217819,0
0.55015,-12568.58283,-7121.796217,19687.64106,-7.692385217,-4.245266408,12.72173445,0
0.5502,-12274.51847,-7469.423348,19743.19805,-7.506385946,-4.466534032,12.75685958,0
0.55025,-11976.25174,-7818.163818,19791.9417,-7.317614496,-4.686172972,12.78755853,0
0.5503,-11673.48404,-8161.182744,19833.61542,-7.126146838,-4.904025341,12.81380477,0
0.55035,-11366.89668,-8503.35545,19868.123,-6.932042457,-5.120102555,12.83560532,0
0.5504,-11055.87684,-8841.385918,19895.84199,-6.735377543,-5.334235179,12.85293747,0
0.55045,-10741.38533,-9176.435561,19916.07807,-6.536215647,-5.546443503,12.86580986,0
0.5505,-10422.57303,-9509.025273,19929.78765,-6.334633397,-5.756554617,12.87420396,0
0.55055,-10100.60913,-9836.487686,19935.73942,-6.130697943,-5.964589507,12.87812976,0
0.5506,-9774.470689,-10163.11075,19935.4028,-5.924486656,-6.170380247,12.87757313,0
0.55065,-9445.481344,-10482.61219,19927.07953,-5.716069726,-6.373940435,12.87254519,0
0.5507,-9112.489159,-10802.67487,19912.67818,-5.505525538,-6.575115241,12.86303649,0
0.55075,-8776.935192,-11113.9242,19890.11118,-5.292926796,-6.773903594,12.84905909,0
0.5508,-8437.568155,-11426.77738,19861.64456,-5.078353039,-6.970170822,12.83060848,0
0.55085,-8095.922029,-11729.55199,19824.8877,-4.861879082,-7.163895355,12.80769748,0
0.5509,-7750.666747,-12034.50924,19782.37264,-4.643585556,-7.354968106,12.78032691,0
0.55095,-7403.409776,-12328.63612,19731.50301,-4.423549184,-7.543343115,12.74851005,0
0.551,-7052.762063,-12624.99573,19674.973,-4.20185139,-7.728940222,12.71225353,0
0.55105,-6700.381536,-12910.32942,19610.09134,-3.978570817,-7.911687461,12.67157078,0
