Time,Var2,Var3,Var4,Var5,Var6,Var7
0.3439,-3718.14450062372,19142.1321223346,-15423.9876217102,-2.26509365501544,11.6609486649181,-9.39585500988885
0.34395,-4093.63768685152,19266.1163088172,-15172.4786219649,-2.49383453279337,11.7364781298663,-9.24264359705906
0.344,-4467.67642682359,19383.2553474796,-14915.5789206553,-2.72168941227015,11.8078377841619,-9.08614837187776
0.34405,-4840.12782706974,19493.5076187372,-14653.3797916667,-2.94857744682463,11.8750022801741,-8.92642483333545
0.3441,-5210.85955801893,19596.8339493866,-14385.974391367,-3.17441794699883,11.9379477985757,-8.7635298515628
0.34415,-5579.73990036947,19693.1976257429,-14113.4577253727,-3.39913077748734,11.9966519603988,-8.59752118289734
0.3442,-5946.63779250789,19782.5644077788,-13835.9266152702,-3.62263602089752,12.0510939377206,-8.42845791680888
0.34425,-6311.42287646897,19864.9025406162,-13553.4796641465,-3.84485436238493,12.1012543481659,-8.25639998576669
0.3443,-6673.96554496338,19940.1827669661,-13266.217222002,-4.06570676633313,12.1471153842265,-8.081408617879
0.34435,-7034.13698685329,20008.3783368868,-12974.2413500327,-4.28511484838138,12.1886606903181,-7.90354584192229
0.3444,-7391.80923369564,20069.4650184161,-12677.6557847197,-4.50300056567001,12.2258755102387,-7.7228749445542
0.34445,-7746.85520463446,20123.4211054954,-12376.5659008602,-4.71928657579599,12.2587465464174,-7.53945997060691
0.3445,-8099.1487523622,20170.2274267112,-12071.0786743482,-4.93389594104456,12.2872621246164,-7.35336618355726
0.34455,-8448.56470733283,20209.8673513188,-11761.3026439852,-5.14675247361368,12.3114120347579,-7.1646595611295
0.3446,-8794.9789230363,20242.3267960333,-11447.3478729962,-5.35778045398561,12.3311877117244,-6.97340725772404
0.34465,-9138.26831943384,20267.5942291185,-11129.3259096838,-5.56690496159906,12.3465820571457,-6.77967709553178
0.3447,-9478.31092746005,20285.660675225,-10807.3497477642,-5.77405160740242,12.3575896352849,-6.58353802786759
0.34475,-9814.98593160698,20296.5197175683,-10481.5337859606,-5.97914684913041,12.3642064754512,-6.38505962630583
0.3448,-10148.1737135794,20300.1675008431,-10151.9937872628,-6.18211773802461,12.3664302822404,-6.18431254420077
0.34485,-10477.7558939657,20296.6027315395,-9818.84683757301,-6.38289221794404,12.3642602186729,-5.9813680007137
0.3449,-10803.6153750007,20285.8266790049,-9482.21130400344,-6.58139888637271,12.3576971305455,-5.77629824415755
0.34495,-11125.6363812897,20267.8431739745,-9142.20679268402,-6.77756727679393,12.346743310886,-5.56917603407677
0.345,-11443.7045016409,20242.658607843,-8798.95410620133,-6.97132763424123,12.3314027385381,-5.3600751042815
0.34505,-11757.7067288102,20210.2819294706,-8452.57520065963,-7.16261118057744,12.3116808248792,-5.14906964428634
0.3451,-12067.5315003811,20170.7246427235,-8103.19314234159,-7.35134990506861,12.2875846670463,-4.93623476196214
0.34515,-12373.0687375091,20124.0008015976,-7750.93206408769,-7.53747681242604,12.2591227780306,-4.72164596558896
0.3452,-12674.2098848143,20070.1270060437,-7395.91712122859,-7.72092572897312,12.2263053549096,-4.50537962592077
0.34525,-12970.8479480858,20009.1223954081,-7038.27444732157,-7.90163153341456,12.1891439933337,-4.28751245990338
0.3453,-13262.8775331482,19941.0086425316,-6678.13110938262,-8.07952997923578,12.1476519709368,-4.06812199168514
0.34535,-13550.1948824839,19865.8099454843,-6315.61506299951,-8.25455790819372,12.101843946958,-3.84728603874833
0.3454,-13832.6979130099,19783.55301989,-5950.85510687934,-8.42665308946445,12.0517362605713,-3.62508317109081
0.34545,-14110.2862515477,19694.2670889042,-5583.98083735577,-8.59575441574938,11.9973466160035,-3.40159220023808
0.3455,-14382.8612714431,19597.9838737168,-5215.12260227297,-8.76180175955842,11.9386943951419,-3.17689263556729
0.34555,-14650.3261268164,19494.7375817315,-4844.41145491433,-8.92473615169741,11.8758003281862,-2.95106417647256
0.3456,-14912.5857879393,19384.5648952013,-4471.97910726118,-9.08449965482334,11.8086868195275,-2.72418716468778
0.34565,-15169.5470741825,19267.5049575781,-4097.95788339484,-9.24103552391542,11.7373776037794,-2.49634207984755
0.3457,-15421.1186880786,19143.5993602734,-3722.48067219396,-9.39428809709823,11.661898083821,-2.26760998670626
0.34575,-15667.211246903,19012.8921271885,-3345.6808802847,-9.54420293761921,11.5822749720813,-2.03807203444547
0.3458,-15907.7373153504,18875.4296996169,-2967.69238426568,-9.69072674177933,11.4985366396784,-1.80780989788238
0.34585,-16142.6114356871,18731.2609189932,-2588.64948330533,-9.83380746191589,11.4107127430376,-1.57690528110491
0.3459,-16371.7501589973,18580.4370099972,-2208.68685099901,-9.97339423131058,11.3188345833474,-1.34544035201993
0.34595,-16595.072073873,18423.0115615929,-1827.93948771913,-10.1094374677792,11.2229347189355,-1.11349725113944
0.346,-16812.4978361907,18259.0405084056,-1446.54267221406,-10.2418888154557,11.1230473345603,-0.881158519087566
0.34605,-17023.9501963101,18088.5821101283,-1064.6319138175,-10.3707012287326,11.0192078403165,-0.648506611566845
0.3461,-17229.3540273658,17911.6969312544,-682.342903887847,-10.4958289309939,10.9114532506138,-0.415624319602693
0.34615,-17428.6363509657,17728.4478189308,-299.811467964285,-10.6172274788488,10.7998217706567,-0.182594291790522
0.3462,-17621.7263639772,17538.8998811069,82.8264828710709,-10.7348537379728,10.6843531851004,0.0505005528898054
0.34625,-17808.5554627049,17343.1204628868,465.434999818872,-10.8486659277197,10.5650884332459,0.283577494491252
0.3463,-17989.05726816,17141.1791231414,847.878145019349,-10.9586236143613,10.4420700073865,0.516553606992336
0.34635,-18163.1676487042,16933.1476093917,1230.02003931337,-11.0646877362745,10.3153415177864,0.749346218505773
0.3464,-18330.8247437688,16719.0998328955,1611.72491087409,-11.1668206148267,10.1849481005191,0.981872514325344
0.34645,-18491.9689849295,16499.111842066,1992.85714286434,-11.264985960331,10.0509359730774,1.21404998727148
0.3465,-18646.5431180432,16273.2617960334,2373.28132201064,-11.3591489007935,9.91335285124035,1.4457960495711
0.34655,-18794.4922227205,16041.629936595,2752.8622861263,-11.449275968781,9.77224749588546,1.67702847291359
0.3466,-18935.7637328266,15804.2985602397,3131.46517258772,-11.5353351480579,9.62767013808829,1.90766500998777
0.34665,-19070.3074542985,15561.3519886216,3508.95546567777,-11.617295841391,9.47967201745895,2.13762382395024
0.3467,-19198.0755839667,15312.8765390512,3885.19904491628,-11.6951289349842,9.3283058144706,2.36682312053187
0.34675,-19319.0227256756,15058.9604935072,4260.06223216915,-11.7688067471585,9.1736251805151,2.59518156666178
0.3468,-19433.105907373,14799.6940676118,4633.411839762,-11.8383031103027,9.01568517634336,2.82261793397783
0.34685,-19540.2845954884,14535.1693782136,5005.1152172756,-11.903593300291,8.85454179405287,3.04905150625676
0.3469,-19640.5207102588,14265.480410899,5375.04029936055,-11.9646541356307,8.69025240061512,3.27440173503423
0.34695,-19733.7786383434,13990.7229862107,5743.05565213346,-12.021463887504,8.52287525217148,3.49858863535131
0.347,-19820.0252463558,13710.9947257627,6109.03052059387,-12.0740023957362,8.35246994179815,3.72153245395692
0.34705,-19899.2298916951,13426.395017174,6472.83487452195,-12.1222509594136,8.17909690673371,3.94315405269884
0.3471,-19971.3644342816,13137.0249788777,6834.33945540472,-12.1661924693988,8.00281787980279,4.16337458961509
0.34715,-20036.4032456078,12842.9874238604,7193.4158217482,-12.2058112796215,7.82369539045428,4.38211588918635
0.3472,-20094.3232186714,12544.3868232511,7549.93639542109,-12.2410933559157,7.64179321947081,4.59930013646413
0.34725,-20145.1037752469,12241.3292689495,7903.77450629809,-12.2720261282109,7.45717589488159,4.81485023334867
0.3473,-20188.726874026,11933.9224360754,8254.80443795142,-12.2985986556071,7.2699091497253,5.02868950590125
0.34735,-20225.1770161224,11622.2755445566,8602.90147156664,-12.3208014598309,7.08005941396388,5.24074204588655
0.3474,-20254.4412514175,11306.4993204971,8947.94193092117,-12.3386267064716,6.88769427504373,5.45093243144747
0.34745,-20276.5091822941,10986.7059567744,9289.80322552051,-12.3520680201262,6.69288196686814,5.65918605327777
0.3475,-20291.3729681915,10663.0090733684,9628.36389482383,-12.3611206817603,6.49569183278031,5.86542884899973
0.34755,-20299.0273275697,10335.5236770033,9963.50365056724,-12.3657814259859,6.29619381247834,6.06958761352736
0.3476,-20299.4695406565,10004.3661204625,10295.1034201948,-12.3660486543964,6.09445890682202,6.27158974759432
0.34765,-20292.6994496261,9669.65406129856,10623.0453883283,-12.3619222153628,5.89055866336371,6.47136355201906
0.3477,-20278.7194595278,9331.50642016026,10947.2130393684,-12.353403633122,5.68456564217049,6.66883799097159
0.34775,-20257.5345366701,8990.04333859666,11267.4911980742,-12.340495870412,5.47655290045677,6.86394296997543
0.3478,-20229.1522077062,8645.38613642476,11583.7660712823,-12.3232035729216,5.26659445844759,7.05660911449433
0.34785,-20193.5825562051,8297.65726866684,11895.925287539,-12.3015328150008,5.05476478350382,7.2467680315173
0.3479,-20150.8382200022,7946.98028203482,12203.8579379682,-12.275491360012,4.84113925525317,7.4343521047793
0.34795,-20100.934386343,7593.4797711528,12507.4546151911,-12.2450883921247,4.62579365030195,7.61929474184324
0.348,-20043.8887883165,7237.28133413076,12806.6074541865,-12.2103347986941,4.40880460475732,7.80153019395736
0.34805,-19979.7216985869,6878.51152772909,13101.2101708586,-12.1712428884604,4.19024909788275,7.98099379059832
0.3481,-19908.4559222398,6517.2978219901,13391.1581002505,-12.1278266811467,3.97020491078169,8.15762177038576
0.34815,-19830.1167869389,6153.7685549034,13676.3482320363,-12.0801016050225,3.74875011078317,8.33135149426014
0.3482,-19744.7321344205,5788.05288649791,13956.6792479234,-12.0280847986218,3.52596350613529,8.50212129250743
0.34825,-19652.3323096783,5420.28075290424,14232.0515567748,-11.9717947899025,3.30192413181109,8.6698706581124
0.3483,-19552.9501501193,5050.58281986849,14502.3673302516,-11.9112518064153,3.07671170010964,8.83454010632673
0.34835,-19446.6209724456,4679.0904364645,14767.5305359819,-11.8464774355157,2.85040608951665,8.99607134602018
0.3484,-19333.3825601671,4305.93558826693,15027.4469719009,-11.7774949430346,2.62308779187739,9.15440715117842
0.34845,-19213.2751489455,3931.25085081113,15282.0242981352,-11.704328916076,2.39483740619856,9.30949150989871
0.3485,-19086.341412431,3555.16934245289,15531.172069979,-11.6270055914701,2.16573608261336,9.46126950887816
0.34855,-18952.6264459727,3177.82467757586,15774.8017683977,-11.5455524819813,1.93586502240398,9.60968745959877
0.3486,-18812.177750391,2799.35091944642,16012.8268309454,-11.459998711176,1.70530592124152,9.75469278995605
0.34865,-18665.045213982,2419.88253362158,16245.1626803612,-11.3703746254447,1.47414047861488,9.8962341468514
0.3487,-18511.281096108,2039.55434038314,16471.7267557257,-11.2767121469739,1.2424508377446,10.034261309251
0.34875,-18350.9400093142,1658.50146746703,16692.438541848,-11.1790443805997,1.01031910265814,10.1687252779634
0.3488,-18184.0789019173,1276.8593018558,16907.2196000623,-11.0774059877607,0.777827771569232,10.2995782162133
0.34885,-18010.757038635,894.763442006263,17115.9935966295,-10.9718327897867,0.545059259777104,10.4267735300315
0.3489,-17831.0359812696,512.349649314674,17318.6863319557,-10.8623621586208,0.312096325835839,10.5502658328069
0.34895,-17644.9795673142,129.753800237654,17515.2257670774,-10.7490326141694,0.0790216007276299,10.6700110134638
0.349,-17452.6538889715,-252.888162708373,17705.5420516807,-10.6318842316822,-0.154081996585729,10.78596622829
0.34905,-17254.127270165,-635.440279326425,17889.5675494922,-10.5109582318785,-0.387131725199197,10.8980899570998
0.3491,-17049.4702433867,-1017.76662108166,18067.2368644692,-10.3862974000623,-0.620044619303765,11.0063420193883
0.34915,-16838.7555243821,-1399.73133957979,18238.4868639627,-10.2579456650202,-0.852737949449964,11.1106836144924
0.3492,-16622.0579866839,-1781.19871596334,18403.2567026481,-10.1259485244677,-1.08512883258727,11.2110773570773
0.34925,-16399.4546342569,-2162.03320929165,18561.4878435494,-9.99035261048098,-1.31713468757111,11.3074872980745
0.3493,-16171.0245742782,-2542.09950625918,18713.1240805381,-9.8512061203063,-1.54867286204124,11.39987898237
0.34935,-15936.8489879206,-2921.26256979273,18858.1115577141,-9.70855836588574,-1.77966108258376,11.488219448492
0.3494,-15697.0111002827,-3299.38768787371,18996.3987881572,-9.5624602001465,-2.01001709194352,11.5724772921126
0.34945,-15451.5961484926,-3676.34052069128,19127.9366691847,-9.41296354612388,-2.23965908687332,11.6526226330198
0.3495,-15200.6913498941,-4051.98714845655,19252.6784983514,-9.26012181791434,-2.46850536139358,11.7286271793306
0.34955,-14944.3858690415,-4426.19411770048,19370.5799867428,-9.10398943236963,-2.69647472798127,11.8004641603736
0.3496,-14682.7707850793,-4798.82848863924,19481.5992737193,-8.94462222997123,-2.92348616807059,11.8681083980646
0.34965,-14415.939058186,-5169.75788117627,19585.696939363,-8.78207697520766,-3.14945923660429,11.9315362118347
0.3497,-14143.9854961519,-5538.85052155212,19682.8360177048,-8.6164117802159,-3.37431371729008,11.9907254975288
0.34975,-13867.0067201259,-5905.97528744565,19772.9820075724,-8.4476855992653,-3.59797000866294,12.0456556079511
0.3498,-13585.1011307827,-6271.00175415404,19856.1028849376,-8.27595866066897,-3.82034878514828,12.0963074458402
0.34985,-13298.3688737996,-6633.80023940381,19932.1691132042,-8.10129196140623,-4.04137136564513,12.1426633270743
0.3499,-13006.9118055707,-6994.24184937472,20001.1536549461,-7.92374771153115,-4.2609593837983,12.1847070953525
0.34995,-12710.8334580938,-7352.19852335303,20063.0319814476,-7.7433888324294,-4.47903514150332,12.2224239739558
0.35,-12410.2390037676,-7707.54307933346,20117.7820831019,-7.56027941388598,-4.69552128899041,12.2558007028995
0.35005,-12105.2352191945,-8060.14925804063,20165.3844772359,-7.37448421604113,-4.91034116333008,12.2848253793943
0.3501,-11795.9304488214,-8409.89176799453,20205.8222168167,-7.18606913806085,-5.12341847931295,12.309487617397
0.35015,-11482.4345677223,-8756.64632917685,20239.0808968999,-6.99510072407175,-5.33467765492279,12.3297783790177
0.3502,-11164.8589442089,-9100.28971890254,20265.1486631122,-6.80164664283552,-5.54404352502082,12.3456901678796
0.35025,-10843.3164013153,-9440.6998163785,20284.0162176945,-6.60577519529141,-5.75144166129891,12.3572168566136
0.3503,-10517.9211775034,-9777.75564824925,20295.6768257534,-6.407555798484,-5.95679810963711,12.3643539081444
0.35035,-10188.7888862627,-10111.3374322714,20300.1263185348,-6.20705849008361,-6.16003970439507,12.367098194502
0.3504,-9856.03647501512,-10441.3266225285,20297.3630975444,-6.00435441077005,-6.36109383231952,12.3654482431129
0.35045,-9519.78218297006,-10767.6059525671,20287.388135538,-5.79951530131491,-6.55988874042134,12.3594040417596
0.3505,-9180.14549813848,-11090.0594793708,20270.2049775101,-5.59261397745239,-6.75635332353653,12.3489673010123
0.35055,-8837.24711355432,-11408.5726248949,20245.81973845,-5.3837238164749,-6.95041742082176,12.3341412373201
0.3506,-8491.20888283408,-11723.0322182711,20214.241101106,-5.17291922124808,-7.14201162065944,12.3149308419309
0.35065,-8142.15377527045,-12033.3265352989,20175.4803105701,-4.96027509626754,-7.33106753852953,12.2913426348205
0.3507,-7790.20583047485,-12339.345338526,20129.5511690016,-4.74586730091583,-7.51751763267914,12.2633849336184
0.35075,-7435.49011293828,-12640.9799146726,20076.4700276117,-4.52977211818505,-7.70129545710211,12.2310675753106
0.3508,-7078.13266636724,-12938.1231128647,20016.2557792327,-4.3120667004904,-7.88233548404084,12.1944021845548
0.35085,-6718.26046827953,-13230.6693805561,19948.9298488364,-4.09282853712497,-8.06057333075157,12.1534018679001
0.3509,-6356.00138431154,-13518.5148013271,19874.5161856393,-3.87213589627925,-8.23594559602073,12.1080814923235
0.35095,-5991.48412276312,-13801.5571305434,19793.0412533073,-3.65006729564143,-8.40839006530911,12.0584573609741
0.351,-5624.83818885317,-14079.6958314658,19704.5340203197,-3.42670194386822,-8.57784555638248,12.0045475002743
0.35105,-5256.19383932064,-14352.8321085385,19609.02594786,-3.20211921833511,-8.74425209750657,11.9463713158652
0.3511,-4885.68203704336,-14620.8689405374,19506.5509775815,-2.97639911190038,-8.90755076956389,11.8839498814878
0.35115,-4513.43440624705,-14883.7111113896,19397.1455176374,-2.74962172428005,-9.06768385276852,11.8173055770721
0.3512,-4139.5831870558,-15141.2652439361,19280.8484309927,-2.52186771419133,-9.22459468368291,11.7464623978978
0.35125,-3764.26119013434,-15393.4398321629,19157.701022298,-2.29321780347328,-9.37822778351576,11.6714455870126
0.3513,-3387.60175073098,-15640.1452742453,19027.747024977,-2.06375323331305,-9.52852873194677,11.5922819652834
0.35135,-3009.73868291181,-15881.2939037112,18891.0325866238,-1.8335552798868,-9.67544428260713,11.5089995625175
0.3514,-2630.80623255146,-16116.8000232771,18747.6062558293,-1.60270570830709,-9.81892226812364,11.4216279764543
0.35145,-2250.93903025867,-16346.5799365673,18597.5189668268,-1.37128629413882,-9.95891171022078,11.3301980043832
0.3515,-1870.27204341677,-16570.5519802296,18440.8240236471,-1.1393792710017,-10.0953627515528,11.2347420225781
